ezloophw-py logger started on:,2026-3-11_160354
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
57840190,2.503000,0.000000,0.000000,1012.5,1012.9,1014.1,1014.86,0.0,-0.0,1399.96,0.0,0.0,0.0,0.0,0.0,0.0,325.8418381688429,449.8808755149999,6.787919835885965,325.22839423571185,218.5267963101597,6.468894702484263,328.3743589085459,25.943167037230577,-6.838611728781995,0.15192153121729576,-1.2397194302835994
57840290,2.603000,0.000000,0.000000,1012.45,1012.85,1014.05,1014.93,0.01,-0.0,1400.01,0.0,0.0,0.0,0.0,0.0,0.0,325.8734251239357,450.44010336388317,6.835275868851185,325.18271440729296,218.4852028736246,6.52686015228464,328.3649457360169,25.799570944875477,-6.7960156046468665,0.17426588063516332,-1.294693905080435
57840390,2.702000,0.000000,0.000000,1012.53,1012.9,1014.05,1014.94,0.01,-0.01,1400.03,0.0,0.0,0.0,0.0,0.0,0.0,325.8460690148489,449.8144397321074,6.867024450527084,325.16767410922137,218.49358273088066,6.563070288951253,328.3649457360169,25.799570944875477,-6.7960156046468665,0.17426588063516332,-1.294693905080435
57840490,2.803000,0.000000,0.000000,1012.41,1012.81,1014.1,1014.94,0.01,-0.01,1399.92,0.0,0.0,0.0,0.0,0.0,0.0,325.6961291824689,449.1840352238334,6.373654750667018,325.2335678765321,218.6636371444482,6.892539257971593,328.4658944655389,26.662486962363808,-7.080750927331606,0.11496932699486566,-1.1944181809651557
57840591,2.903000,0.000000,0.000000,1012.38,1012.89,1014.06,1015.03,0.01,-0.01,1399.93,0.0,0.0,0.0,0.0,0.0,0.0,325.7833310508414,448.8411757550287,6.128535453530851,325.32303399733973,218.7009033796085,6.771887780550792,328.3573469033105,26.994240371548965,-6.598510692048695,0.11459551624406403,-1.1359868873955048
57840691,3.003000,0.000000,0.000000,1012.5,1012.83,1014.06,1014.82,0.01,-0.0,1400.02,0.0,0.0,0.0,0.0,0.0,0.0,325.7989282025337,448.83674943620406,6.196305894723362,325.3562426719571,218.91771663018338,6.652899364682009,328.3717450539453,27.530120162708066,-6.5149123331011625,0.11031701421708463,-1.1233114623800977
57840790,3.103000,0.000000,0.000000,1012.5,1012.9,1014.13,1014.89,0.01,-0.0,1399.96,0.0,0.0,0.0,0.0,0.0,0.0,325.8266925150793,449.03314091599566,6.43810165847546,325.39952383793786,219.54550210910892,6.95558329679777,328.461155166915,28.043232967393763,-6.524054737359777,0.10665033724959021,-1.129235567033897
57840891,3.203000,0.000000,0.000000,1012.55,1012.77,1014.15,1014.9,0.01,-0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,326.093739134283,449.19335546985553,6.566546648476738,325.74929707611545,219.80584351152982,6.706369414513754,328.7302321474953,28.522187894590246,-6.818904490788706,0.08603372179668514,-1.0648837892681815
57840990,3.304000,0.000000,0.000000,1012.54,1012.84,1014.19,1014.94,0.01,-0.0,1399.95,0.0,0.0,0.0,0.0,0.0,0.0,326.10661979824783,449.2036121303308,6.580907925986466,325.7728664006673,219.81318840925815,6.714274534700491,328.81662042695694,28.567714173447662,-6.965693272250407,0.08336288531898212,-1.0785357769886101
57841091,3.403000,0.000000,0.000000,1012.42,1012.87,1014.05,1014.97,0.01,0.0,1399.89,0.0,0.0,0.0,0.0,0.0,0.0,326.0948534033276,449.1950199899863,6.575909607333237,325.7767255742776,219.81959131541942,6.713995630308706,328.86887770850706,28.551271797340256,-6.886589193298249,0.07946522593247195,-1.08512583582654
57841191,3.503000,0.000000,0.000000,1012.43,1012.9,1014.14,1014.94,0.01,0.0,1399.97,0.0,0.0,0.0,0.0,0.0,0.0,326.1040048078612,449.204562058681,6.584884681896109,325.7818764032196,219.81946108561485,6.702353609344714,328.8262753888719,28.538880958356696,-6.82840964163316,0.08046113647421144,-1.072758103104924
57841291,3.603000,0.000000,0.000000,1012.41,1012.78,1014.18,1014.9,0.01,0.0,1400.02,0.0,0.0,0.0,0.0,0.0,0.0,326.10206761851106,449.19431996832213,6.585735588705483,325.79184334284434,219.81764326372038,6.711259468298756,328.8611179522589,28.540521604051868,-6.907551997990432,0.0762719249572856,-1.0796572745570419
57841391,3.703000,0.000000,0.000000,1012.43,1012.86,1014.13,1014.91,0.01,-0.0,1400.07,0.0,0.0,0.0,0.0,0.0,0.0,326.1018466747774,449.20025318549324,6.577977906070166,325.78941622059676,219.8094067454791,6.724809840214389,328.8310893042985,28.526313063660375,-6.810855957208041,0.07803683374774877,-1.0670812241269947
57841491,3.803000,0.000000,0.000000,1012.48,1012.83,1014.09,1014.81,0.01,-0.0,1399.97,0.0,0.0,0.0,0.0,0.0,0.0,326.10039311462043,449.1959513331037,6.572261601072349,325.78609847066866,219.81700483770948,6.709720405710832,328.8117766841146,28.541433552242832,-6.7716644381293305,0.07850653090719872,-1.0632664500045061
57841591,3.904000,0.000000,0.000000,1012.53,1012.87,1014.02,1014.84,0.01,-0.0,1400.06,0.0,0.0,0.0,0.0,0.0,0.0,326.10559190659046,449.20134705347067,6.594613854936457,325.79024702069506,219.82910595487897,6.741123007619011,328.8854161726407,28.54410905395389,-6.892612722318763,0.07877116944397591,-1.0845604395104291
57841691,4.003000,0.000000,0.000000,1012.37,1012.81,1014.08,1014.82,0.01,-0.0,1399.96,0.0,0.0,0.0,0.0,0.0,0.0,326.10606120769853,449.19650123166974,6.564583089205674,325.7809271372558,219.8076842415019,6.7102352622568535,328.82293844871566,28.552800337526758,-6.779539614160944,0.08121057417538902,-1.0736643544461666
57841791,4.104000,0.000000,0.000000,1012.49,1012.96,1014.07,1014.98,0.01,-0.0,1399.86,0.0,0.0,0.0,0.0,0.0,0.0,326.10269423823456,449.2053986263156,6.590144093598375,325.7801100254014,219.82193479448557,6.7035287643252985,328.81413965143014,28.52595875472492,-6.799227023137372,0.08057556303181294,-1.0698085998105646
57841891,4.204000,0.000000,0.000000,1012.54,1012.9,1014.1,1014.94,0.01,0.0,1399.93,0.0,0.0,0.0,0.0,0.0,0.0,326.10599720850115,449.200775934466,6.575371074042785,325.7803231893069,219.81457055609172,6.703342538367887,328.84148397826317,28.54904886845946,-6.908896775983772,0.08134636617960317,-1.0796202512152022
57841992,4.304000,0.000000,0.000000,1012.53,1012.88,1014.16,1014.92,0.01,0.0,1400.11,0.0,0.0,0.0,0.0,0.0,0.0,326.11262279142113,449.190758480937,6.571225582355348,325.7888903562562,219.81863429531356,6.71194427760123,328.82579532304396,28.537653279579168,-6.798383842315883,0.07632218848735356,-1.0622341256808627
57842091,4.405000,0.000000,0.000000,1012.45,1012.91,1014.09,1014.94,0.01,0.0,1399.97,0.0,0.0,0.0,0.0,0.0,0.0,326.09345019084174,449.20001203034934,6.5895711561349515,325.7749716970152,219.82090953646207,6.719958289461152,328.9093015405807,28.54916616634853,-6.853544402634637,0.08158646039046878,-1.1019827872994872
57842192,4.504000,0.000000,0.000000,1012.55,1012.91,1014.09,1014.92,0.01,0.0,1400.01,0.0,0.0,0.0,0.0,0.0,0.0,326.1066389614284,449.19670663854606,6.592915998341332,325.7773636522254,219.8232191382226,6.7244486929869645,328.8090820495865,28.537540011824397,-6.708947637479124,0.0822504499590959,-1.0725151704259364
57842291,4.604000,0.000000,0.000000,1012.52,1012.96,1014.14,1014.96,0.01,0.0,1400.05,0.0,0.0,0.0,0.0,0.0,0.0,326.09912595617027,449.19733228861946,6.591173507014496,325.78388401506686,219.82523566363054,6.717565310651909,328.8348061506257,28.53396079493302,-6.960760128251951,0.07874550411368789,-1.0712291933778806
57842391,4.704000,0.000000,0.000000,1012.46,1012.99,1014.12,1014.96,0.01,0.0,1400.1,0.0,0.0,0.0,0.0,0.0,0.0,326.1002356675253,449.21588748877656,6.581789190522413,325.78367615664143,219.83033030899338,6.714097723319462,328.80051653328053,28.53001366030046,-6.749397326656247,0.08090639032491763,-1.0653026276355664
57842491,4.804000,0.000000,0.000000,1012.57,1012.91,1014.08,1014.93,0.01,0.01,1400.05,0.0,0.0,0.0,0.0,0.0,0.0,326.10667912480056,449.19638181891906,6.575067920828918,325.79781120681537,219.82317035172122,6.725175049299823,328.870613760386,28.561393362263196,-6.877844844179256,0.07715293916860463,-1.0747379423584011
57842591,4.904000,0.000000,0.000000,1012.61,1012.95,1014.11,1014.92,0.01,0.01,1400.13,0.0,0.0,0.0,0.0,0.0,0.0,326.101939137395,449.20515344313344,6.58846108281618,325.78176966464383,219.82646433464444,6.696292597804932,328.89614328254476,28.543470906877634,-6.895500440217436,0.0799740711550043,-1.0927268280515103
57842692,5.003000,0.000000,0.000000,1012.55,1013.0,1014.17,1014.88,0.01,0.01,1400.14,0.0,0.0,0.0,0.0,0.0,0.0,326.1091024539977,449.20298856346835,6.602010656066289,325.7883459682693,219.8262620619934,6.73001007465677,328.7846812295882,28.541826336429303,-6.903801696930773,0.08012138452219147,-1.0576671956649792
57842791,5.104000,0.000000,0.000000,1012.56,1012.99,1013.93,1014.85,0.0,0.01,1400.06,0.0,0.0,0.0,0.0,0.0,0.0,326.0958340220357,449.2029098158052,6.592299584339861,325.78368787881215,219.82538554479063,6.695109324440083,328.9128612449202,28.54385605838786,-6.8871568507422385,0.07797034872851584,-1.0931584035634192
57842891,5.204000,0.000000,0.000000,1012.41,1012.85,1013.99,1014.93,0.0,0.01,1400.12,0.0,0.0,0.0,0.0,0.0,0.0,326.1026358714555,449.1975578350394,6.595106327847161,325.7950999322531,219.81876932832648,6.71768765461078,328.85121970324474,28.54478778737739,-6.892861814184973,0.0768183532644533,-1.0690140356397497
