ezloophw-py logger started on:,2026-3-5_141727,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
51454778,3.602000,0.000000,0.000000,1028.09,1028.58,1029.8,1030.55,0.01,0.0,1400.82,649.6974352335550,672.5223660103630,0.30777233047479600,646.3959051668550,330.19670840357100,2.558697100275410,644.3747264810290,40.66188789211330,-0.45548398729744200,0.5525670363246140,-0.7051713770353340
51454878,3.702000,0.000000,0.000000,1028.14,1028.61,1029.69,1030.61,0.01,0.0,1400.9,649.6965408589980,672.5321452701480,0.29224119534922200,646.3028748196820,330.20416415563300,2.5055994472746400,644.2019267205130,40.718667508696200,-0.37069088723872200,0.5679827021449610,-0.7201471782961320
51454978,3.801000,0.000000,0.000000,1028.14,1028.58,1029.69,1030.58,0.01,0.0,1400.78,649.6900613666460,672.5195691340900,0.3084111945781220,646.2813669765640,330.20140374555500,2.413244056455490,644.0520644921620,40.72656235667610,-0.27608250695795600,0.5705141216322200,-0.6997909393802180
51455078,3.901000,0.000000,0.000000,1028.08,1028.56,1029.78,1030.49,0.02,0.0,1400.89,649.7486365494430,672.5859746831870,0.30264588524124100,646.2323260013190,330.20763750757900,2.4257156160137500,644.0037226515520,40.731633129680300,-0.24665737240711700,0.5884211963663690,-0.7357452324952830
51455179,4.001000,0.000000,0.000000,1028.21,1028.56,1029.73,1030.5,0.02,0.0,1400.93,649.7337287713630,672.5839103507670,0.30331835317679800,646.2883362486550,330.19402701310900,2.4788094842645800,643.9523791329410,40.73877454977810,-0.27201681379532900,0.5765351058507720,-0.6906927725404280
51455278,4.101000,0.000000,0.000000,1028.16,1028.58,1029.66,1030.53,0.03,0.0,1400.71,649.7561238911710,672.5661280902880,0.29576669884914600,646.3094302680300,330.20718561957800,2.4959863416822600,644.0087955354350,40.637897050227500,-0.30008006846323100,0.5768049317315360,-0.6984031405281620
51455378,4.201000,0.000000,0.000000,1028.12,1028.52,1029.76,1030.52,0.03,0.0,1400.62,649.6945877492890,672.5403985237870,0.2975473190197310,646.2610788636910,330.2184030603990,2.398590683118570,644.0835939857260,40.72143660485920,-0.2409409956881140,0.5746606238381590,-0.7183725496570640
51455478,4.301000,0.000000,0.000000,1028.18,1028.56,1029.7,1030.43,0.03,0.0,1400.87,649.7331364780810,672.5863696961090,0.30553681875992900,646.3126617556870,330.2117431978360,2.377085357683730,644.2121958240970,40.70316667190740,-0.4357087704407010,0.572391265591476,-0.72909287274549
51455579,4.401000,0.000000,0.000000,1028.19,1028.53,1029.71,1030.42,0.04,0.0,1400.74,649.6891165118280,672.5323702254290,0.3042455541573480,646.362581813552,330.20683213020700,2.5430982953615800,644.3469369021310,40.72784615679430,-0.4433592439819040,0.5567519173061700,-0.7145592284349930
51455679,4.501000,0.000000,0.000000,1028.06,1028.38,1029.82,1030.47,0.04,0.0,1400.71,649.742226426345,672.6014207160910,0.3306110699481190,646.3507165525510,330.19905852819300,2.350419941393810,644.3488605226680,40.71833687668860,-0.48421145827564800,0.5674985598844110,-0.7387839531444070
