ezloophw-py logger started on:,2026-2-3_164256
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1030., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,FILpressure_0,FILpressure_1,FILpressure_2,FILpressure_3,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
60182143,2.500000,0.000000,0.000000,1031.37,1030.29,1030.66,1031.31,0.0,0.0,0.25,0.0,0.13,0.25,1366.25,0.0,0.0,0.0,0.0,633.4736571415225,667.2546214386659,0.07895750904356798,638.5511395262415,313.88246422466386,-0.4251498063014685,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
60182242,2.600000,0.000000,0.000000,1031.0,1030.47,1030.63,1031.31,0.0,0.0,0.19,0.03,0.12,0.25,1367.21,0.0,0.0,0.0,0.0,633.4736571415225,667.2546214386659,0.07895750904356798,638.5511395262415,313.88246422466386,-0.4251498063014685,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
60182342,2.699000,0.000000,0.000000,1030.99,1030.59,1030.57,1031.35,0.0,0.0,0.19,0.05,0.11,0.26,1367.94,0.0,0.0,0.0,0.0,633.4736571415225,667.2546214386659,0.07895750904356798,638.5511395262415,313.88246422466386,-0.4251498063014685,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
60182443,2.799000,0.000000,0.000000,1031.21,1030.37,1030.63,1031.37,0.0,0.0,0.23,0.01,0.13,0.26,1368.7,0.0,0.0,0.0,0.0,633.4736571415225,667.2546214386659,0.07895750904356798,638.5511395262415,313.88246422466386,-0.4251498063014685,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
60182543,2.899000,0.000000,0.000000,1031.43,1030.21,1030.54,1031.29,0.01,0.0,0.27,0.02,0.11,0.25,1369.65,0.0,0.0,0.0,0.0,633.3981443698231,666.8629753536353,-0.0014673937562039983,625.9409881107338,313.61300606165247,2.6933455823176398,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
60182642,2.999000,0.000000,0.000000,1031.73,1030.15,1030.66,1031.24,0.0,0.0,0.32,0.03,0.13,0.24,1369.34,0.0,0.0,0.0,0.0,633.4278890211918,666.4745353463669,-0.16220647365566634,629.054558276464,313.71965781191716,2.2752439696921964,653.0914651048996,36.65211441811628,-5.463606484568057,-0.8308402158622786,-1.3406482718245376
60182742,3.100000,0.000000,0.000000,1031.91,1029.94,1030.72,1031.21,0.0,0.0,0.35,0.06,0.14,0.23,1369.99,0.0,0.0,0.0,0.0,633.5241651128539,666.1859653220987,-0.1266602430156686,632.9453371304697,313.7112015760365,1.220149270653364,638.8233981282493,35.76962214521739,-3.9321808760126675,0.0940900570868569,-1.3997220875456804
60182843,3.200000,0.000000,0.000000,1031.89,1029.85,1030.76,1031.24,0.01,0.0,0.35,0.08,0.15,0.24,1370.82,0.0,0.0,0.0,0.0,633.4649909960956,665.8715685850403,0.12184626897572065,636.265865202109,313.841161709337,0.3493968613640071,647.0685754208727,36.500652722838254,-5.342411112644142,-0.4558551808990057,-1.3188940642257285
60182944,3.300000,0.000000,0.000000,1031.6,1029.92,1030.74,1031.2,0.01,0.0,0.3,0.07,0.14,0.23,1371.48,0.0,0.0,0.0,0.0,633.5576042170705,665.484597567059,-0.08250869268719781,637.7091611901883,313.8554234450985,-0.20546327589535246,651.2265302772568,36.943374998226425,-5.184982790434062,-0.676438870246486,-1.4417782253059064
60183043,3.401000,0.000000,0.000000,1031.39,1030.12,1030.68,1031.12,0.0,0.0,0.26,0.03,0.13,0.22,1372.16,0.0,0.0,0.0,0.0,633.5477690422888,665.3533735009053,-0.09675574326810978,636.7463373711032,313.9691785721763,-0.1855148913299541,649.7693672103379,37.19943087990105,-5.196774996083728,-0.5215357060311642,-1.6509177311336816
