ezloophw-py logger started on:,2026-3-9_121724
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44276010,28.032000,-4.070813,11.962794,1016.8,1021.31,1026.03,1019.13,-0.03,-0.0,1399.0,649.7256417377698,672.3906094465075,0.31662589988556905,649.3708189163093,329.15161191810296,1.0184709937756924,650.5750858219135,42.63911494783972,-0.11584470216528465,0.05922940880631293,-0.35928253559688705
44276109,28.132000,-3.519716,10.273347,1016.87,1021.22,1026.19,1019.33,-0.03,-0.0,1397.86,649.7274417762993,672.3931236132366,0.3196603172347974,649.5867535028859,329.06541628358264,0.9631314907755534,649.6777015583721,42.713947867494326,0.10111325067526157,0.023478570678369923,-0.06515484639342511
44276210,28.231000,-3.095197,9.186363,1016.94,1021.18,1027.54,1019.44,-0.03,-0.0,1398.09,649.7348245851381,672.383553593832,0.30343974826718006,650.5714738254361,329.2875648833237,0.9163917855636969,652.1165875936247,42.74278308064112,-0.2177827805369003,-0.13971709656418546,-0.0295145136744851
44276310,28.332000,-4.084430,12.243962,1016.94,1021.11,1027.41,1019.28,-0.03,-0.0,1398.42,649.7375791966624,672.3832792863764,0.2868858339518128,652.2672546637815,329.2936682269491,0.2271542123614325,655.3588148561488,42.70759149080331,-0.5677576510957355,-0.42244677978469175,0.22683673503327162
44276410,28.433000,-5.255376,15.978542,1016.9,1021.03,1027.33,1019.13,-0.03,-0.0,1397.14,649.7284836564813,672.3983323748397,0.3248335976343183,653.9563632160073,329.28347207958495,-0.32691502892089086,660.0560893028825,42.72992255680122,-1.243468284596971,-0.7059659146445033,0.1924885885953982
44276510,28.532000,-4.539966,13.892943,1016.86,1020.9,1027.21,1019.16,-0.03,-0.0,1396.28,649.664390753017,672.3236803748603,0.3050699599072161,655.3364364423452,329.27205746547077,-0.6828301377232086,663.6634525006415,42.800353384663374,-1.5733871729800006,-0.9472471431469839,0.22951807333744645
44276610,28.632000,-4.396264,13.557040,1016.83,1020.93,1027.33,1019.11,-0.02,0.0,1396.94,649.731109730875,672.3781929896097,0.2911369215930418,656.2816135384237,329.3984822712542,-0.9308633912285591,666.0117514186313,42.83221149019751,-1.7375430420568145,-1.094148097116949,0.24360906340824817
44276711,28.733000,-5.127548,15.683931,1016.79,1021.13,1029.09,1019.81,-0.02,0.0,1397.14,649.7234519970027,672.3831223289056,0.2836570236880444,656.1081078812415,329.4186426432823,-1.020597408935398,666.0780068302879,42.80407534813426,-1.7556592296309257,-1.0664999077588857,0.14076715511436322
44276811,28.833000,-5.345561,16.243747,1016.85,1021.04,1030.49,1019.84,-0.02,-0.0,1397.21,649.7352509968073,672.3937570743456,0.2642085870254872,655.1977640098092,329.2702416594906,-0.6465504832289632,663.6146831745564,42.851619405949656,-1.5100606013924933,-0.9120695322284436,0.14088540336201638
44276912,28.934000,-4.984706,15.013113,1016.81,1021.29,1029.71,1019.66,-0.02,0.0,1396.44,649.7426765151469,672.3902886316062,0.32831494893576385,653.9769754498712,329.2953494992952,-0.34422769429375294,659.2434411630263,42.76751186343571,-0.6611385426898847,-0.7070787536097367,0.36116284002714294
44277012,29.034000,-5.204487,15.505294,1016.74,1021.19,1033.12,1019.96,-0.02,0.0,1396.86,649.6764876851724,672.3318738297977,0.32418310927104865,652.1381708095564,329.26641817614563,0.23413746106714553,654.9107109209424,42.79089348125455,-0.10976315798153534,-0.4111216403756369,0.26774604190206
44277113,29.134000,-5.580118,16.519486,1016.83,1021.29,1032.04,1019.6,-0.02,0.0,1397.48,649.734259317551,672.3933614427997,0.3199555317173307,650.8073211835547,329.2371674839903,0.8989106576778503,650.1224252979229,42.726241344400144,0.9464047979340482,-0.1791653968794303,0.49529439732804426
44277213,29.235000,-5.544749,16.454619,1016.79,1021.39,1031.91,1019.36,-0.02,0.0,1397.99,649.7246493159041,672.3805689754328,0.3139393428135092,649.7057459914897,329.1396371985743,0.9735138771564855,647.417744006328,42.73229307808634,1.544475656324307,0.0031554532293385814,0.45139407688812033
44277314,29.335000,-4.881545,14.365204,1016.91,1021.41,1031.84,1019.19,-0.02,0.0,1398.29,649.7270496414641,672.3997934335141,0.31111263086307905,649.789805256914,329.22503546502185,0.8773467059573848,646.4098400847037,42.76172203407897,1.8600393587570232,-0.010477553440203147,0.6969535480229014
44277414,29.436000,-3.673444,10.923640,1016.95,1021.26,1031.66,1019.22,-0.02,0.0,1398.83,649.7438988972224,672.3747957756716,0.3034531673496201,650.4393761621504,329.31078330795253,0.8150079470095332,648.1007295258377,42.66567041927275,1.3781040483628249,-0.11615283443123206,0.6997534049320759
44277514,29.536000,-5.199822,15.632137,1016.91,1021.14,1031.83,1019.19,-0.03,0.0,1399.05,649.7438988972224,672.3747957756716,0.3034531673496201,650.4393761621504,329.31078330795253,0.8150079470095332,648.1007295258377,42.66567041927275,1.3781040483628249,-0.11615283443123206,0.6997534049320759
44277615,29.636000,-5.100166,15.512405,1016.95,1021.06,1031.85,1019.18,-0.03,0.0,1399.19,649.7348036503818,672.369408802073,0.282570965013808,653.1224487947509,329.17374883870826,-0.027945723616130524,655.1951286815089,42.76588685316893,0.4149090183396278,-0.5655417254323367,0.7164518974680927
44277715,29.737000,-6.391378,19.476203,1016.98,1021.01,1031.86,1019.2,-0.03,0.0,1399.28,649.7348036503818,672.369408802073,0.282570965013808,653.1224487947509,329.17374883870826,-0.027945723616130524,655.1951286815089,42.76588685316893,0.4149090183396278,-0.5655417254323367,0.7164518974680927
44277815,29.837000,-6.300412,19.298629,1016.88,1021.11,1031.68,1019.22,-0.02,0.0,1399.62,649.7277087052368,672.38947144029,0.3341838054717904,654.6382002846915,329.34572211516456,-0.2157425032970277,658.5444626156524,42.82673831916053,0.08160507526661318,-0.8201030600940823,0.8591113496595812
44277916,29.937000,-7.717351,23.494303,1016.8,1021.1,1031.72,1019.25,-0.02,0.0,1399.7,649.7155658793353,672.3960812008378,0.3203468668082754,655.3882481580113,329.2906969722594,-0.7181379068875895,661.1252183882406,42.66105224887796,-0.2313042680869057,-0.9440314597418598,0.7414254247206629
44278015,30.038000,-7.942493,24.102367,1016.8,1021.16,1031.89,1019.27,-0.02,0.0,1399.93,649.7404546422754,672.3879917587255,0.2852801499548135,654.8771902643074,329.27686034899295,-0.6132550632959582,660.1045871978297,42.692304595545835,-0.12538899244192714,-0.8577141900809161,0.6704503226518121
44278115,30.138000,-7.934576,23.926544,1018.62,1027.39,1040.43,1021.79,-0.02,0.0,1398.4,649.7404546422754,672.3879917587255,0.2852801499548135,654.8771902643074,329.27686034899295,-0.6132550632959582,660.1045871978297,42.692304595545835,-0.12538899244192714,-0.8577141900809161,0.6704503226518121
44278215,30.238000,-9.529512,28.601292,1018.62,1028.59,1041.51,1021.98,-0.03,0.0,1397.3,649.7324055151769,672.4090116560151,0.3413356753900227,652.5023474694502,329.23945351039004,-0.0580917222607969,653.201891219636,42.81099053058108,0.858682027775795,-0.4624609998299398,0.7849888925869966
44278316,30.338000,-5.940130,17.720466,1017.91,1027.45,1040.62,1021.08,-0.03,0.0,1396.74,649.7303500522098,672.384493948045,0.32683540918856474,652.6957677268457,329.1264296280867,0.09619138498646843,648.0158242310953,42.839543766153355,3.1559997309404832,-0.49496780481936126,1.9264686574587149
44278416,30.438000,-2.352145,6.867622,1017.35,1027.03,1040.23,1020.31,-0.02,0.0,1396.91,649.7303500522098,672.384493948045,0.32683540918856474,652.6957677268457,329.1264296280867,0.09619138498646843,648.0158242310953,42.839543766153355,3.1559997309404832,-0.49496780481936126,1.9264686574587149
44278516,30.537000,-2.222263,6.503929,1017.19,1026.8,1039.97,1019.93,-0.02,0.0,1397.66,649.6701401010748,672.3288445012802,0.3171927117283243,654.6812811531405,329.2249922143603,-0.6025594535586043,652.2908772643718,42.78982290617332,2.5151273358766453,-0.8367636155196115,2.15166989450636
44278617,30.638000,-4.432668,13.604169,1016.86,1025.51,1038.7,1019.3,-0.02,0.0,1397.7,649.7396139351168,672.3859725893132,0.3020419603607477,656.7894757054098,329.4076105070409,-1.1206771319500721,659.014018332456,42.8473784530924,1.5395789929193506,-1.1775391630660994,1.9103050135530417
44278717,30.739000,-6.121885,18.734272,1016.68,1024.66,1037.09,1018.69,-0.02,0.0,1398.36,649.737906357884,672.3736367370609,0.27857774461847457,659.5794985534247,329.5356225035757,-1.9229852072307194,664.6522306002305,42.97158901009664,0.8150119451580354,-1.6442951510571802,2.274451227144983
44278816,30.839000,-5.953680,18.482541,1016.76,1024.51,1035.23,1018.2,-0.02,0.0,1398.55,649.7360548053625,672.3839973606894,0.2675161358614817,661.2178178843548,329.6003486281575,-2.3430537095600825,670.6443861661766,43.06525940109183,-0.01995217697808742,-1.9184424471851937,1.9526205518959454
44278917,30.939000,-8.668380,26.676252,1016.74,1024.44,1033.49,1018.12,-0.02,0.0,1398.9,649.7280741477356,672.3833372129526,0.2817787627643296,661.5621390742808,329.6095083164027,-2.5161147692704704,673.3621654059205,43.159820802833515,-0.6868645341072864,-1.9773177417273864,1.595723277023513
44279017,31.039000,-9.429324,28.974535,1016.61,1024.2,1032.21,1018.06,-0.02,0.0,1399.09,649.7344469123406,672.3958140620173,0.30851846827425716,660.9283010379065,329.5780583996432,-2.2747942363184452,672.5986639493611,43.12134118147732,-0.8045103679549009,-1.870185533243403,1.4074079218403055
44279116,31.139000,-10.189173,30.964521,1016.55,1024.36,1031.05,1018.17,-0.02,0.0,1399.46,649.671037552739,672.3231932143299,0.2958700674577747,658.7442860694052,329.47910764954753,-1.746829272414127,668.9908722744984,42.94581783853406,-0.8907980171280729,-1.515958867296149,0.9838622443456702
44279216,31.239000,-10.978032,33.041996,1016.52,1024.08,1030.21,1018.24,-0.02,0.0,1399.51,649.7335700843457,672.3733653807831,0.28886462551496456,656.4063888640546,329.3738789850898,-0.9666810792833946,663.0998558427885,42.82087695287143,-0.5273901975116269,-1.1145093414127099,0.8909148130393232
44279316,31.339000,-8.793867,26.254925,1017.07,1026.73,1038.29,1020.73,-0.02,0.0,1396.25,649.7338448534091,672.3781441158121,0.29576411511380385,653.5823620271749,329.22815125303833,-0.3490107658976252,657.6247308988931,42.79691645590254,0.07339382865645525,-0.6425602552243623,0.47656588232685626
