ezloophw-py logger started on:,2026-3-19_123309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
45203700,3.102000,11.374057,11.374057,1037.75,1026.77,1037.52,1028.84,-0.02,0.01,0.29,1.0,0.4,1.0,1398.52,0.012665402975343500,-0.021402986361424600,0.01551722662871340,0.01593951692380200,0.0,0.0,326.1206972717730,449.31378597440900,6.524166958402790,322.37799462095600,219.33895694319200,8.38147851448316,315.83506249397800,30.084609109193900,-2.3436811701605500,0.9323721981434350,0.11530599818737200
45203801,3.203000,11.679310,11.679310,1037.05,1026.67,1037.02,1028.76,-0.02,0.01,0.34,1.0,0.35,1.0,1399.04,0.01424919737867770,-0.019764566509000500,0.015803159942132600,0.016531016841816000,0.0,0.0,326.1255282129080,449.2905417152290,6.5552058726956800,322.763137238809,219.4009696210710,8.256944958719700,316.4600542375590,29.978637133917200,-2.276657451236790,0.8379548250251260,0.22992081603646000
45203901,3.306000,11.989499,11.989499,1037.84,1026.74,1037.42,1028.76,-0.02,0.01,0.34,1.0,0.42,1.0,1399.1,0.015834740638736300,-0.01805240775846600,0.01748800331917900,0.01938786696822670,0.0,0.0,326.1276708310560,449.31122660221600,6.544304451935620,322.6750833113550,219.45120418259000,8.403199780017740,316.5953919559220,29.933193043134700,-2.2626234912783900,0.8605403255518700,0.11632379055338100
45204001,3.403000,12.303210,12.303210,1037.81,1026.6,1038.31,1028.74,-0.02,0.01,0.3,1.0,0.31,1.0,1399.3,0.01736258956703110,-0.0162615220527386,0.015170713723937500,0.018256286801812100,0.0,0.0,326.1274155438120,449.29075386138100,6.524080729543690,322.51048418450000,219.3359803008340,8.329705589036750,315.72494758047900,30.06528504603150,-2.07092175644733,0.9011242132161170,0.25098105329924400
45204100,3.505000,12.613324,12.613324,1037.7,1026.6,1037.5,1028.7,-0.03,0.01,0.38,1.0,0.41,1.0,1399.64,0.018829275719507700,-0.014444023162175400,0.014814047278384700,0.01873895962534290,0.0,0.0,326.12427143489200,449.3006134630130,6.531646164169900,322.2761064433640,219.3008821819190,17.767192565633700,315.1759199355340,29.962028571861100,-1.8650752550755200,0.958536088849858,0.2305070550407900
45204200,3.604000,12.931690,12.931690,1039.53,1026.93,1040.03,1029.0,-0.03,0.01,0.3,1.0,0.36,1.0,1399.44,0.020259576341690900,-0.012601039068921200,0.014055658725455100,0.01818614213540100,0.0,0.0,326.1271780566330,449.2938973643900,6.543032131682240,321.76148394352900,219.44464799656300,8.74423710777797,313.8941733132220,30.09048306910070,-1.731977443303150,1.0857838488846400,0.20759616837519300
45204300,3.703000,13.242988,13.242988,1038.76,1026.77,1039.02,1028.81,-0.03,0.01,0.35,1.0,0.35,1.0,1398.24,0.021688517593452600,-0.01077151063235570,0.015399141718673500,0.01962417843065960,0.0,0.0,326.1230142491850,449.29860762329100,6.523990900177700,321.4231782054060,219.44688740204100,8.878106397852280,311.8578879391850,30.08431332858810,-0.9372770314781930,1.1702674073724000,0.37000062985032
45204400,3.804000,13.548481,13.548481,1039.76,1026.82,1039.05,1028.66,-0.03,0.01,0.31,1.0,0.38,1.0,1398.23,0.023144177521029200,-0.008919287753321410,0.016657601395103900,0.021190063349072500,0.0,0.0,326.12496929469700,449.30243656698900,6.542502658863940,321.017031085195,219.38681546585400,8.92757240082008,311.2278655289930,30.165883706724500,-0.7095593417382020,1.2727067596072800,0.4160891433044390
45204500,3.904000,13.868966,13.868966,1039.15,1026.68,1039.02,1028.7,-0.03,0.01,0.36,1.0,0.42,1.0,1398.51,0.024647680286698900,-0.0070302777348932000,0.015244268402170600,0.01887298590495780,0.0,0.0,326.1267251818810,449.3019232964840,6.5454268766075500,320.7427093749720,219.42968419780900,8.98913729271399,310.44972656520800,30.349941820122900,-0.455783928604298,1.341723530770750,0.43250257562938100
45204601,4.003000,14.176191,14.176191,1041.01,1026.93,1041.11,1028.98,-0.03,0.01,0.31,1.0,0.35,1.0,1398.72,0.026213321460085800,-0.005145911450016810,0.016734229018759700,0.019851220794758800,0.0,0.0,326.12781351163500,449.3162692150360,6.5222880321416800,320.7265547682740,219.43869403182100,8.96062356947788,310.42087046083800,30.360899377152400,-0.4508354065525620,1.345987744755610,0.4278436995431570
45204700,4.103000,14.485640,14.485640,1040.55,1026.73,1040.56,1028.79,-0.03,0.01,0.32,1.0,0.36,1.0,1398.16,0.02782122302174950,-0.00327676280181696,0.017137368117443900,0.01973477072723350,0.0,0.0,326.1207937217770,449.2961317928840,6.523929086337820,320.92888652610600,219.41121306177600,8.958206679219140,310.4258590199020,30.379641780864400,-0.20698430840913600,1.2967883133514800,0.5866383192120650
45204800,4.203000,14.796130,14.796130,1040.63,1026.64,1040.58,1028.73,-0.03,0.01,0.33,1.0,0.39,1.0,1396.37,0.029430190626949300,-0.0014051155517426800,0.01707455679052830,0.020137427255620500,0.0,0.0,326.12902614288300,449.3013958295960,6.545063407764440,320.90132861330800,219.4294064546090,8.943376473295750,310.50158381742400,30.300014824782100,-0.24946902273879800,1.3027832790443000,0.5418132003012400
45204901,4.303000,15.106845,15.106845,1040.58,1026.55,1040.87,1028.77,-0.03,0.01,0.33,1.0,0.34,1.0,1396.83,0.031004479428445800,0.00047961002198720300,0.015658522323913700,0.01883129899951940,0.0,0.0,326.12429967891400,449.3072728218880,6.526230423141500,320.87328317721400,219.43193425528200,8.974656859900690,310.145373230126,30.379974020425300,-0.16330624676751400,1.3094483746059500,0.6289165843207080
45205001,4.404000,15.414000,15.414000,1040.55,1026.72,1040.51,1028.78,-0.03,0.01,0.39,1.0,0.44,1.0,1397.69,0.03253455415445290,0.0023455628181424700,0.015775399019468600,0.01942494726263510,0.0,0.0,326.12349152093800,449.30607267348800,6.538804857405160,320.41937863279500,219.49663247198000,8.97069211026157,309.19248955427100,30.314336205252200,0.01983306933311970,1.4218497824265200,0.5524946923804990
45205101,4.504000,15.722979,15.722979,1042.07,1027.04,1041.83,1029.01,-0.03,0.01,0.29,1.0,0.35,1.0,1397.93,0.034032199078512600,0.004173683339150070,0.015266585012813200,0.018416185817773200,0.0,0.0,326.1192407701150,449.31357547588800,6.530717475706720,320.29919734428900,219.51072665726500,9.108433244662370,308.73315782920100,30.28996406976260,0.15124157214336300,1.450776860923170,0.5962748182119200
45205201,4.604000,16.032694,16.032694,1042.26,1026.89,1042.29,1028.71,-0.03,0.01,0.32,1.0,0.35,1.0,1397.33,0.035519627338068900,0.005938845380674120,0.015548466149910400,0.018322929674463500,0.0,0.0,326.1220536573320,449.30763245265700,6.526658810999010,320.2154544758300,219.5017956417980,9.29540561563874,307.8614673377560,30.471710474398400,0.5499292528862750,1.4723242688210400,0.7945770381960810
45205302,4.705000,16.342960,16.342960,1042.3,1026.67,1042.21,1028.62,-0.03,0.01,0.32,1.0,0.37,1.0,1395.78,0.03699031577611860,0.007681279689620680,0.015478410063891600,0.018577038169872800,0.0,0.0,326.1265536057990,449.3031366685330,6.533390175155410,319.82985344201800,219.48786574050800,9.77507237759072,306.6838392954320,30.571232141958200,0.9284083489847120,1.5694523052314700,0.8416813576891950
45205402,4.807000,16.652311,16.652311,1042.35,1026.72,1042.37,1028.54,-0.03,0.01,0.32,1.0,0.37,1.0,1396.74,0.03846383237194910,0.009454301955917190,0.01629552561740650,0.019485600456409700,0.0,0.0,326.1209174462430,449.3069006240020,6.519183839580970,319.3302084132090,219.4461033238090,9.899170872713450,305.0045577317200,30.627351013647300,1.4946816166798900,1.692179958432810,0.9543502241133680
