ezloophw-py logger started on:,2026-1-20_143126,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1030.,1030,1030,1030.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
52291172,1.601000,0.000000,0.000000,1022.27,1022.11,1023.71,1024.64,0.0,0.0,1.0,1.0,1.0,0.94,1022.5,634.1443791925340,666.0804113988700,-0.354538431864423,637.012035640399,315.5301581041010,0.19263915517590300,647.9488916258090,38.127056600909700,-4.192333722506840,-0.4686944171055200,-1.3203772385768200
52291271,1.702000,0.000000,0.000000,1022.38,1022.24,1023.61,1024.59,0.0,0.0,1.0,1.0,1.0,0.95,1022.46,634.1408055230190,666.0717521722500,-0.08967626193575070,637.0024038029320,315.52622490731500,0.21420888681474000,647.9678085002240,38.132012284256300,-4.149908515551560,-0.4677106096252460,-1.3283046878367800
52291371,1.801000,0.000000,0.000000,1022.13,1022.11,1023.73,1024.7,0.0,0.01,1.0,1.0,1.0,0.93,1022.46,633.8648955220050,665.8130560223090,-0.2812280528627010,636.8039936318690,315.45442135092300,-0.14683800382991100,647.9269124797830,38.079748593203000,-4.138438648690020,-0.48063313012074800,-1.3351042909912900
52291472,1.899000,0.000000,0.000000,1022.09,1022.05,1023.64,1024.66,0.0,0.0,1.0,1.0,1.0,0.94,1022.5,633.5531225125890,665.7100335937670,-0.36585719153555100,636.4021364413980,314.04211238457400,0.28007120944714700,647.3707661961930,35.776357050764100,-4.836023875901590,-0.4641677359411570,-1.328970689793820
52291572,2.001000,0.000000,0.000000,1022.14,1022.1,1023.65,1024.66,0.0,0.0,1.0,1.0,1.0,0.95,1022.53,633.5106044838270,665.7931079159490,-0.2689987398695340,636.4126667545590,314.0649544431060,0.2298120452516920,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52291672,2.102000,0.000000,0.000000,1022.22,1022.16,1023.55,1024.64,0.0,0.0,1.0,1.0,1.0,0.95,1022.53,633.3979855373700,667.0939808674530,-0.25642296816403700,636.4126667545590,314.0649544431060,0.2298120452516920,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52291772,2.201000,0.000000,0.000000,1022.41,1022.17,1023.64,1024.68,0.0,0.0,1.0,1.0,1.0,0.95,1022.53,633.4079667252370,667.0960513561830,-0.18323561342046200,636.4126667545590,314.0649544431060,0.2298120452516920,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52291872,2.300000,0.000000,0.000000,1022.36,1022.2,1023.65,1024.67,0.01,0.0,1.0,1.0,1.0,0.95,1022.53,633.4079667252370,667.0960513561830,-0.18323561342046200,636.4126667545590,314.0649544431060,0.2298120452516920,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52291972,2.401000,0.000000,0.000000,1022.38,1022.14,1023.63,1024.7,0.0,0.0,1.0,1.0,1.0,0.95,1022.53,633.4079667252370,667.0960513561830,-0.18323561342046200,636.4126667545590,314.0649544431060,0.2298120452516920,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52292072,2.501000,0.000000,0.000000,1022.33,1022.18,1023.68,1024.71,0.01,0.0,1.0,1.0,1.0,0.95,1022.43,633.4079667252370,667.0960513561830,-0.18323561342046200,636.4126667545590,314.0649544431060,0.2298120452516920,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52292172,2.601000,0.000000,0.000000,1022.08,1022.2,1023.54,1024.64,0.01,0.0,1.0,1.0,1.0,0.97,1022.52,633.4060000565520,666.7492420302080,-0.168082828541179,636.4823594642550,313.87312972255200,0.3948131712559750,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52292272,2.701000,0.000000,0.000000,1022.21,1022.17,1023.71,1024.7,0.01,0.0,1.0,1.0,1.0,0.96,1022.47,633.3578857746340,666.2863766660200,-0.1854949861502540,636.4324676507510,313.96549584780900,0.29563101474731000,647.3390757045580,35.81232277543510,-4.6592084832156100,-0.4727291384880380,-1.303273871815230
52292372,2.802000,0.000000,0.000000,1022.23,1022.05,1023.72,1024.63,0.01,0.01,1.0,1.0,1.0,0.97,1022.41,633.4556372798370,666.0463566403040,-0.38289635264087700,636.420630589525,314.09883491077700,0.07446589558618830,647.3458440035990,35.451652531600200,-4.802212008829570,-0.4826787336872920,-1.279948398918870
52292473,2.901000,0.000000,0.000000,1022.32,1022.15,1023.62,1024.78,0.01,0.01,1.0,1.0,1.0,0.95,1022.46,633.4802261206640,665.7307205405320,-0.10447834741144900,636.4135506012410,314.0761328402150,0.2626678400354950,647.3794053800760,35.78196632469810,-4.870055182460920,-0.47792129167382600,-1.3006629353503000
52292573,3.002000,0.000000,0.000000,1022.42,1022.21,1023.66,1024.69,0.01,0.01,1.0,1.0,1.0,0.97,1022.45,633.5867082720850,665.499042340619,-0.24894502223247100,636.4333867225860,314.0902949070970,0.16305993205301100,647.3179139892490,36.120796052785900,-4.560392118716260,-0.4641292923135040,-1.3141422198360500
52292672,3.102000,0.000000,0.000000,1022.53,1022.2,1023.67,1024.68,0.01,0.01,1.0,1.0,1.0,0.97,1022.59,633.5852283433500,665.2299293605600,-0.27017652743399900,636.4028958000730,314.18889569035700,0.2895965290371640,647.3859127177660,36.507149868299200,-4.575207873019850,-0.4598806720114930,-1.3452513310787600
52292772,3.202000,0.000000,0.000000,1022.33,1022.21,1023.67,1024.56,0.02,0.01,1.0,1.0,1.0,1.0,1022.4,633.707927109366,665.4687384301480,-0.31241688018724900,636.4266712512420,314.63399297385300,0.11557853615781200,647.4149662837100,36.979115620293100,-4.508424230620050,-0.44399663617994700,-1.3783258269473500
