ezloophw-py logger started on:,2026-3-16_144706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
53232911,2.804000,0.000000,0.000000,1006.27,1006.53,1007.69,1008.5,0.0,0.0,1.0,1.0,1.0,1.0,1399.68,0.0,0.0,0.0,0.0,0.0,0.0,326.1080760538240,449.12933718885600,6.600678248225170,323.7104962850110,219.37999384761900,7.473414163323640,323.9734970238580,29.75870096154000,-5.816969581414310,0.5978960089334070,-1.2752600061538400
53233011,2.903000,0.000000,0.000000,1006.26,1006.53,1007.67,1008.55,0.0,0.0,1.0,1.0,1.0,1.0,1399.64,0.0,0.0,0.0,0.0,0.0,0.0,326.10979547625500,449.14925470041600,6.566650868855980,323.7823173966390,219.3637919711910,7.507239443863140,323.9870238265580,29.75922602740600,-5.849264565877130,0.5803243993836280,-1.2225081208669900
53233112,3.004000,0.000000,0.000000,1006.22,1006.49,1007.67,1008.46,0.0,0.0,1.0,1.0,1.0,1.0,1399.72,0.0,0.0,0.0,0.0,0.0,0.0,326.1147559376000,449.13092084112100,6.569663586761030,323.717237496573,219.3490187396170,7.447013993657920,323.9896894844840,29.673820443290400,-5.779026981951700,0.5977960063635670,-1.2778923789914900
53233211,3.104000,0.000000,0.000000,1006.27,1006.49,1007.69,1008.52,0.0,0.0,1.0,1.0,1.0,1.0,1399.81,0.0,0.0,0.0,0.0,0.0,0.0,326.1125570011230,449.1403304867830,6.569218883805980,323.7832678122160,219.35375804495200,7.5201818166922000,323.9662989813860,29.75853782587830,-5.834610356226380,0.5807731389031560,-1.2168583803100000
53233312,3.203000,0.000000,0.000000,1006.25,1006.49,1007.68,1008.42,0.0,0.0,1.0,1.0,1.0,1.0,1399.73,0.0,0.0,0.0,0.0,0.0,0.0,326.1087041355490,449.13550182531600,6.601316303219650,323.77421053006400,219.3594327038850,7.496503924110760,323.9420915442210,29.74060532719150,-5.874396411047930,0.5820972977941710,-1.2149220006216400
53233411,3.304000,0.000000,0.000000,1006.19,1006.55,1007.62,1008.45,0.0,0.0,1.0,1.0,1.0,1.0,1399.75,0.0,0.0,0.0,0.0,0.0,0.0,326.1026074937620,449.1429625108730,6.605173243833140,323.7137182562690,219.3665140001270,7.470757749146600,323.9751599091410,29.75384140619980,-5.833008215126140,0.5956586967322920,-1.2703178822022800
53233511,3.404000,0.000000,0.000000,1006.18,1006.57,1007.54,1008.6,0.0,0.0,1.0,1.0,1.0,1.0,1399.71,0.0,0.0,0.0,0.0,0.0,0.0,326.1113375673390,449.1347788788670,6.566826537758000,323.7762717660230,219.35592911073000,7.5011743628973300,323.9741338977220,29.769940071614100,-5.833730720148280,0.5822329174393010,-1.2242627693106000
53233612,3.504000,0.000000,0.000000,1006.28,1006.62,1007.55,1008.46,0.0,0.0,1.0,1.0,1.0,1.0,1399.68,0.0,0.0,0.0,0.0,0.0,0.0,326.10775290044400,449.1411816563500,6.5889999832493200,323.7397691654040,219.36723811183500,7.509711602563300,323.9745470475580,29.764928661031000,-5.815969961914030,0.5904528116986130,-1.2518529390404700
53233711,3.605000,0.000000,0.000000,1006.2,1006.58,1007.68,1008.52,0.0,0.0,1.0,1.0,1.0,1.0,1399.66,0.0,0.0,0.0,0.0,0.0,0.0,326.1135288167000,449.1394981092350,6.599768616498740,323.71984260313100,219.35067272394300,7.476613810753450,323.9721262167060,29.763770582248100,-5.842710834259080,0.5968225690841170,-1.269888684546300
53233811,3.705000,0.000000,0.000000,1006.16,1006.47,1007.5,1008.53,0.0,0.0,1.0,1.0,1.0,1.0,1399.77,0.0,0.0,0.0,0.0,0.0,0.0,326.1092069851330,449.1392552349200,6.59492606644279,323.73383465062300,219.36385474348400,7.3878686666294300,323.94753791896900,29.749172124578900,-5.885383341018200,0.5922912603366480,-1.2491571094707400
53233911,3.804000,0.000000,0.000000,1006.23,1006.43,1007.63,1008.46,0.0,0.0,1.0,1.0,1.0,1.0,1399.78,0.0,0.0,0.0,0.0,0.0,0.0,326.1048290286830,449.14056471044000,6.5942356050838000,323.7145945981510,219.3731933428170,7.466614924485570,323.9653317469320,29.764819394558700,-5.846147077933920,0.5960176338505030,-1.2678028707818900
53234011,3.905000,0.000000,0.000000,1006.23,1006.49,1007.62,1008.46,0.0,0.0,1.0,1.0,1.0,1.0,1399.73,0.0,0.0,0.0,0.0,0.0,0.0,326.11653612787600,449.135131406724,6.590181513089670,323.7880423075110,219.36326633466800,7.487821508951230,323.93608256235400,29.74076005843260,-5.878932962201170,0.5806119985507080,-1.2059553965739700
53234111,4.005000,0.000000,0.000000,1006.22,1006.41,1007.62,1008.49,0.0,0.0,1.0,1.0,1.0,1.0,1399.77,0.0,0.0,0.0,0.0,0.0,0.0,326.1284183080120,449.1397944083860,6.585544517062450,323.71416089556900,219.3773308615970,7.490381947430860,323.9726638170320,29.687029482913800,-5.742207764010080,0.6020203113271990,-1.2821211418762100
