ezloophw-py logger started on:,2026-3-19_150727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54453367,2.301000,0.000000,0.000000,1023.93,1024.27,1025.59,1026.37,0.0,0.01,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.12432897200700,449.2579642025420,6.530932401935890,323.83983150947800,219.443408788192,7.616861865351100,323.241672706448,29.44600517908630,-5.155243273619950,0.5695363878517960,-0.9586920914761300
54453475,2.402000,0.000000,0.000000,1023.96,1024.19,1025.51,1026.31,0.0,0.01,1.0,1.0,1.0,1.0,1400.48,0.0,0.0,0.0,0.0,0.0,0.0,326.1363422915080,449.2447955133400,6.525533515947130,323.8516137333700,219.51949290595300,7.8578468046104,323.2686669968360,29.447027208968400,-5.168570793206280,0.5646014729517150,-0.9472169695727540
54453583,2.515000,0.000000,0.000000,1023.91,1024.27,1025.47,1026.33,0.0,0.01,1.0,1.0,1.0,1.0,1400.55,0.0,0.0,0.0,0.0,0.0,0.0,326.126676718392,449.25058211674300,6.534014151260800,323.8768933717120,219.51787883078200,7.808112980971020,323.24692359296300,29.44177632665260,-5.166987854376370,0.5610823718703770,-0.9322698705463150
54453676,2.618000,0.000000,0.000000,1023.89,1024.31,1025.56,1026.33,0.0,0.01,1.0,1.0,1.0,1.0,1400.54,0.0,0.0,0.0,0.0,0.0,0.0,326.13522955519800,449.24039571006800,6.522238341614720,323.83951835974100,219.46382523831500,7.675024528902300,323.220494743177,29.4474533327899,-5.165563776519950,0.5731650610562570,-0.9596761258129260
54453777,2.712000,0.000000,0.000000,1023.91,1024.29,1025.55,1026.31,0.0,0.01,1.0,1.0,1.0,1.0,1400.47,0.0,0.0,0.0,0.0,0.0,0.0,326.1321545366760,449.27041709306200,6.5417448371031100,323.8466740898170,219.49410387231300,7.8364358855732,323.26282614815100,29.445276149403500,-5.1855537246928600,0.5691093360901540,-0.9622011818393590
54453875,2.811000,0.000000,0.000000,1023.99,1024.18,1025.52,1026.24,0.0,0.01,1.0,1.0,1.0,1.0,1400.53,0.0,0.0,0.0,0.0,0.0,0.0,326.1294880720720,449.2661503298880,6.53021181650149,323.8720322099330,219.5037279366000,7.85803052832846,323.18320039083300,29.504948179381400,-5.110456300799950,0.5629229107181250,-0.9181235236251680
54453975,2.909000,0.000000,0.000000,1023.85,1024.41,1025.42,1026.27,-0.01,0.01,1.0,1.0,1.0,1.0,1400.53,0.0,0.0,0.0,0.0,0.0,0.0,326.12237103837100,449.2675619870120,6.515251424493770,323.873405403184,219.51918423457800,7.850272369956920,323.259221046891,29.45296258713900,-5.191039459479510,0.5608401893923450,-0.9365341246637190
54454076,3.014000,0.000000,0.000000,1023.89,1024.3,1025.51,1026.27,0.0,0.01,1.0,1.0,1.0,1.0,1400.52,0.0,0.0,0.0,0.0,0.0,0.0,326.1346593619570,449.27242493296900,6.530867698677840,323.87745291661400,219.51116253559000,7.864282712524390,323.22653496681900,29.458514972074000,-5.149968300021760,0.562863561269349,-0.9294935736426940
54454175,3.111000,0.000000,0.000000,1023.93,1024.33,1025.37,1026.33,0.0,0.01,1.0,1.0,1.0,1.0,1400.5,0.0,0.0,0.0,0.0,0.0,0.0,326.1359520680410,449.26578958961400,6.526675642260240,323.86977024630300,219.51529185321600,7.883167811638510,323.20723076095700,29.502217113137200,-5.145807010473000,0.565128017746966,-0.9304773492959400
54454278,3.210000,0.000000,0.000000,1023.89,1024.34,1025.4,1026.26,0.0,0.01,1.0,1.0,1.0,1.0,1400.55,0.0,0.0,0.0,0.0,0.0,0.0,326.12452711497500,449.2537488701730,6.542455720155030,323.80335881564900,219.44649358252800,7.590811348496880,323.2642844566280,29.45068840398140,-5.21199369689833,0.5786963711949200,-0.994828086263918
