ezloophw-py logger started on:,2026-2-12_134424,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
49470250,1.902000,0.000000,0.000000,1015.16,1010.0,1018.74,1018.97,-0.03,0.0,1.0,1.0,0.67,0.63,1011.27,637.0434328350730,681.4835805448600,0.5922762954587790,620.2456934562650,340.907847236773,6.128439407470720,600.5004242096090,58.399043063534800,3.2837419551209300,2.8236312755867600,-1.6492143477215900
49470351,2.002000,0.000000,0.000000,1015.22,1009.93,1018.86,1018.93,-0.03,0.0,1.0,1.0,0.65,0.63,1011.29,637.0296310310070,681.5359795734400,0.6328819970514650,620.1873641962400,340.941066116979,6.102036685434620,600.5086857702400,58.40441775919870,3.3368300077960700,2.8309448271333400,-1.677672763850380
49470451,2.102000,0.000000,0.000000,1015.14,1009.92,1018.75,1018.99,-0.03,0.0,1.0,1.0,0.67,0.62,1011.26,637.0691467696360,681.3663616591700,0.82980861345182,620.1427786470420,340.8664143923300,6.157903451668990,600.5074113493600,58.40665608047900,3.2898899322226700,2.845850074810850,-1.715145323486350
49470550,2.202000,0.000000,0.000000,1015.2,1009.93,1018.83,1018.94,-0.04,0.0,1.0,1.0,0.66,0.63,1011.27,637.0221659230360,681.5029398596820,0.6203360563867680,620.0858857018100,340.89721650643000,6.150050567831060,600.268521873022,58.41726128407200,3.261257977053620,2.8466310166551800,-1.6802551642225000
49470651,2.303000,0.000000,0.000000,1015.22,1009.96,1018.85,1018.99,-0.04,0.0,1.0,1.0,0.66,0.63,1011.35,637.036558562041,681.5156882733290,0.5652236068524860,619.988982435002,340.90845275412000,6.131206834316790,600.1429217415930,58.458360533646900,3.2878597933641500,2.86529373655821,-1.7113650208180500
49470751,2.403000,0.000000,0.000000,1015.1,1009.97,1018.88,1018.91,-0.04,0.0,1.0,1.0,0.65,0.64,1011.16,637.0134489997750,681.5249204457760,0.5862262974607910,619.9920833292020,340.913654063259,6.161847949504480,600.0421450768200,58.432407475858800,3.263533557504160,2.8608619037892100,-1.6819776776634800
49470851,2.504000,0.000000,0.000000,1015.11,1009.93,1018.82,1018.94,-0.04,-0.01,1.0,1.0,0.66,0.64,1011.27,637.0270480289530,681.4827874836760,0.5663631808065900,620.0603713247520,340.9123400289250,6.152607958710340,600.0115110451060,58.41386199057100,3.277956497588390,2.852026489077560,-1.6445893276539000
49470951,2.603000,0.000000,0.000000,1015.2,1009.93,1018.85,1018.96,-0.04,-0.01,1.0,1.0,0.66,0.63,1011.26,637.0308348096930,681.4963963527400,0.6017160907530580,620.0782123854010,340.8857022182590,6.115085867508980,600.1846519604340,58.453814237070100,3.22005223352717,2.8493317569710400,-1.6695942366895900
49471051,2.703000,0.000000,0.000000,1015.28,1010.05,1018.77,1019.02,-0.04,-0.01,1.0,1.0,0.68,0.62,1011.26,637.0026687192930,681.474002479895,0.4875521888444780,620.1797010121890,340.8978371994490,6.148936909746970,600.258460843449,58.413936053564700,3.2161090166755700,2.827861595009780,-1.6218068387107200
49471152,2.803000,0.000000,0.000000,1015.2,1009.92,1018.8,1018.95,-0.04,-0.01,1.0,1.0,0.67,0.64,1011.27,637.0549214362560,681.5411027249090,0.5889990799936430,620.1847472771910,340.89662188127900,6.135741485893560,600.4971434938710,58.423516442526700,3.3079382503831300,2.8352160599908400,-1.6835202210524800
